[2025-07-21 17:02:27,584: INFO: main: Logging is Implemented!]
[2025-07-21 17:03:40,197: INFO: main: Logging is Implemented!]
[2025-07-23 02:54:17,601: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-07-23 02:54:17,604: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-07-23 02:54:17,606: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-23 02:54:17,606: INFO: common: created directory at: artifacts]
[2025-07-23 02:54:17,606: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-23 02:54:18,696: INFO: data_ingestion: File is downloaded]
[2025-07-23 02:54:18,787: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<]
[2025-07-23 13:03:34,725: INFO: main: >>>>> stage Data Ingestion stage started <<<<<]
[2025-07-23 13:03:34,726: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-07-23 13:03:34,727: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-23 13:03:34,727: INFO: common: created directory at: artifacts]
[2025-07-23 13:03:34,727: INFO: common: created directory at: artifacts/data_ingestion]
[2025-07-23 13:03:34,728: INFO: data_ingestion: File already exits]
[2025-07-23 13:03:34,805: INFO: main: >>>>> stage Data Ingestion stage completed <<<<<]
[2025-07-23 13:03:34,805: INFO: main: >>>>> stage Data Transformation stage started <<<<<]
[2025-07-23 13:03:34,806: INFO: common: yaml file: config/config.yaml loaded successfully]
[2025-07-23 13:03:34,806: INFO: common: yaml file: params.yaml loaded successfully]
[2025-07-23 13:03:34,806: INFO: common: created directory at: artifacts]
[2025-07-23 13:03:34,806: INFO: common: created directory at: artifacts/data_transformation]
[2025-07-23 13:03:38,988: INFO: data_transformation_pipeline: Data transformation completed successfully.]
[2025-07-23 13:03:39,025: INFO: main: >>>>> stage Data Transformation stage completed <<<<<]
